time,event
0.342,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.343,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.344,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.345,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.346,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.347,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.348,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.349,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.35,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.351,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.352,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.353,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.354,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.355,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.356,counterexample
0.357,counterexample
0.357,counterexample
0.357,counterexample
0.357,counterexample
